pitch,time,pitcher,batter,release_speed_mph,induced_vertical_break_in,horizontal_break_in,spin_rate_rpm,tilt,exit_speed_mph
202,127:43,"Serrano, Ronaldo","Hernandez, Hector",78,-4.45,-5.98,2075,7:30,--
203,128:16,"Serrano, Ronaldo","Hernandez, Hector",89,19.66,6.59,2223,12:45,--
204,128:54,"Serrano, Ronaldo","Hernandez, Hector",88,17.59,6.59,2082,12:45,--
205,129:17,"Serrano, Ronaldo","Lebron, Felix",78,-2.48,-7.03,1879,8:00,--
206,129:34,"Serrano, Ronaldo","Lebron, Felix",76,-7.80,-9.49,1816,7:30,--
207,129:51,"Serrano, Ronaldo","Lebron, Felix",90,18.98,8.96,2146,1:00,--
208,130:32,"Serrano, Ronaldo","Lebron, Felix",77,0.65,-15.77,1945,8:45,--
209,131:33,"Serrano, Ronaldo","Medina, Dionys",89,14.98,13.69,2133,1:30,--
210,132:20,"Serrano, Ronaldo","Medina, Dionys",88,14.91,8.09,2112,1:00,94
211,132:52,"Serrano, Ronaldo","Medina, Dionys",83,4.34,11.48,1425,2:30,--
212,133:25,"Serrano, Ronaldo","Medina, Dionys",88,19.56,9.80,2170,1:00,77
213,133:58,"Serrano, Ronaldo","Vielma, Carlos",76,-7.45,-15.75,1875,8:00,--
214,134:26,"Serrano, Ronaldo","Vielma, Carlos",77,-3.49,-5.37,1988,7:30,--
215,134:56,"Serrano, Ronaldo","Vielma, Carlos",78,-4.54,-7.48,1994,7:45,--
216,135:25,"Serrano, Ronaldo","Vielma, Carlos",89,17.36,7.46,1996,12:45,--
217,136:12,"Serrano, Ronaldo","Vielma, Carlos",76,3.24,-7.74,1930,9:30,55
218,136:50,"De Los Santos, Alexander","Martinez, Adrian",75,13.22,3.80,1930,12:30,--
219,137:00,"De Los Santos, Alexander","Martinez, Adrian",82,6.82,8.52,2081,2:00,--
220,137:12,"De Los Santos, Alexander","Martinez, Adrian",86,8.10,5.45,2188,1:15,--
221,137:25,"De Los Santos, Alexander","Martinez, Adrian",81,9.24,10.58,1346,1:45,--
222,137:39,"De Los Santos, Alexander","Martinez, Adrian",80,14.30,3.74,1551,12:30,--
223,137:58,"De Los Santos, Alexander","Martinez, Adrian",87,7.75,3.13,2289,12:45,--
224,138:30,"De Los Santos, Alexander","Martinez, Adrian",86,10.68,0.69,2263,12:15,--
225,139:15,"De Los Santos, Alexander","Martinez, Adrian",89,15.08,0.07,2199,12:00,--
226,139:57,"De Los Santos, Alexander","Martinez, Adrian",89,10.69,0.16,2308,12:00,68
227,140:29,"De Los Santos, Alexander","Nieto, Angel",80,2.06,-2.36,2286,9:15,--
228,140:52,"De Los Santos, Alexander","Nieto, Angel",89,11.51,-3.91,2387,11:15,68
229,141:35,"De Los Santos, Alexander","Nieto, Angel",90,12.41,7.72,2329,1:15,--
230,142:21,"De Los Santos, Alexander","Nieto, Angel",89,12.52,1.20,2376,12:15,--
231,143:01,"De Los Santos, Alexander","Nieto, Angel",81,2.77,-3.07,2088,9:30,93
232,143:49,"De Los Santos, Alexander","Lizardo, Jesus",90,9.13,5.00,2320,1:00,--
233,144:23,"De Los Santos, Alexander","Lizardo, Jesus",90,14.01,3.46,2344,12:30,--
234,144:48,"De Los Santos, Alexander","Lizardo, Jesus",89,11.17,3.88,2335,12:45,--
235,145:20,"De Los Santos, Alexander","Lizardo, Jesus",89,12.65,2.13,2396,12:15,65
236,145:57,"De Los Santos, Alexander","Lizardo, Jesus",80,-3.39,-6.21,2138,7:45,--
237,146:17,"De Los Santos, Alexander","Triana, Fernando",90,15.25,0.44,2323,12:00,--
238,146:55,"De Los Santos, Alexander","Triana, Fernando",81,19.16,4.22,1585,12:30,--
239,147:31,"De Los Santos, Alexander","Triana, Fernando",81,-2.82,-4.28,2149,7:30,--
240,148:18,"De Los Santos, Alexander","Triana, Fernando",80,-4.90,-4.05,2328,7:00,--
241,148:59,"Castillo, Michael","Romero, Sebastian",92,17.65,10.25,2073,1:00,--
242,149:10,"Castillo, Michael","Romero, Sebastian",93,17.40,9.49,2124,1:00,--
243,149:22,"Castillo, Michael","Romero, Sebastian",86,13.58,11.00,1804,1:30,--
244,149:36,"Castillo, Michael","Romero, Sebastian",87,14.65,11.00,1728,1:15,--
245,149:50,"Castillo, Michael","Romero, Sebastian",92,19.07,10.13,2106,1:00,--
